time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-08 00:00:00+00:00,37,7,0,0
2026-04-09 00:00:00+00:00,45,10,0,0
2026-04-10 00:00:00+00:00,2,2,0,0
2026-04-11 00:00:00+00:00,23,6,2,2
2026-04-12 00:00:00+00:00,2,2,1,1
2026-04-13 00:00:00+00:00,24,7,0,0
2026-04-14 00:00:00+00:00,27,6,0,0
2026-04-15 00:00:00+00:00,24,7,1,1
2026-04-16 00:00:00+00:00,58,12,0,0
2026-04-17 00:00:00+00:00,27,5,1,1
2026-04-18 00:00:00+00:00,28,8,2,2
2026-04-19 00:00:00+00:00,25,8,0,0
2026-04-20 00:00:00+00:00,75,25,1,1
2026-04-21 00:00:00+00:00,61,21,0,0
